,XGBoost
19,0.032781105
20,0.027141346
21,0.021325344
22,0.015333098
23,0.025202679
24,0.026965104
25,0.021325344
26,0.02044413
27,0.008107156
28,0.022559041
29,0.0031723653
30,0.0077546705
31,0.016038068
32,0.0068734577
33,0.00052872754
34,0.02731759
35,0.05569263
36,0.05463518
37,0.026965104
38,0.010045823
39,0.048819177
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0294325
50,0.014275643
51,0.00017624251
52,0.029608741
53,0.0
54,0.00035248502
55,0.0
56,0.0
57,0.00052872754
58,0.00035248502
59,0.0031723653
60,0.016743038
,XGBoost
0,0.044149708
1,0.031613372
2,0.024164245
3,0.01925872
4,0.021802325
5,0.02616279
6,0.0025436047
7,0.013444767
8,0.0063590114
9,0.0029069767
10,0.023074128
11,0.021075582
12,0.024527617
13,0.039425872
14,0.00054505817
15,0.027252907
16,0.021075582
17,0.041606106
18,0.02071221
19,0.025617732
20,0.01925872
21,0.020893896
22,0.015988372
23,0.028888082
24,0.027252907
25,0.023255814
26,0.020348838
27,0.009992733
28,0.026526162
29,0.008175872
30,0.0078125
31,0.019622093
32,0.008902616
33,0.00054505817
34,0.025617732
35,0.05868459
36,0.04778343
37,0.042696223
38,0.0065406975
39,0.03724564
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.032521803
50,0.016896803
51,0.00054505817
52,0.03452035
53,0.00054505817
54,0.0
55,0.0
56,0.0
57,0.0012718023
58,0.0007267442
59,0.003452035
60,0.016170058
,XGBoost
0,0.043866035
1,0.030396797
2,0.03185293
3,0.018383691
4,0.016745541
5,0.024208227
6,0.0009100837
7,0.015289406
8,0.012377138
9,0.003458318
10,0.02348016
11,0.018565709
12,0.023116127
13,0.038223516
14,0.0012741173
15,0.028030578
16,0.028758645
17,0.050782673
18,0.029850746
19,0.025300328
20,0.01965781
21,0.02074991
22,0.02129596
23,0.020567892
24,0.031670913
25,0.027848562
26,0.015835457
27,0.0067346194
28,0.021477977
29,0.0065526026
30,0.0072806696
31,0.011831089
32,0.009100838
33,0.0003640335
34,0.02857663
35,0.051146705
36,0.048234437
37,0.03531125
38,0.008918821
39,0.04532217
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
