	Train_Accuracy	Test_Accuracy	AUC
237	79.56	76.27	0.8495654779742283
238	79.28	75.42	0.8507641594246329
239	81.17	72.88	0.7950254719808211
240	79.77	73.5	0.7917933130699089
241	80.23	70.34	0.7653581060833083
242	80.62	74.36	0.821580547112462
243	81.19	69.23	0.7386018237082067
244	80.91	75.21	0.8306990881458965
245	79.38	72.03	0.8103086604734792
246	81.36	74.58	0.8234941564279292
247	81.29	75.21	0.8030395136778116
248	80.25	69.23	0.7854103343465046
249	79.4	76.07	0.8458966565349544
