,GradientBoostingClassifier
,GradientBoostingClassifier
0,0.032880130517497524
1,0.016769107616720832
2,0.019238853542944304
3,0.01601611187125034
4,0.022382133058134603
5,0.026298084274682273
6,0.0019093579810568091
7,0.01588849115543801
8,0.010190191000436924
9,0.006908320418299544
10,0.022186938412840845
11,0.018565780001579563
12,0.01905560041678186
13,0.02475184310523363
14,0.0026335580922161516
15,0.02248954651877515
16,0.022652886708084834
17,0.032442212778489174
18,0.01687384697727109
19,0.021681488936624294
20,0.023551846371778862
21,0.026207442328943675
22,0.02051432466073383
23,0.016787795933445624
24,0.018697989875635892
25,0.030463830436204015
26,0.03426394148662622
27,0.0025636544956433634
28,0.016369650492563337
29,0.00716352621183754
30,0.009518157475903097
31,0.012361870159951582
32,0.008714185009552474
33,0.001709454782930899
34,0.0757159442915899
35,0.04865764909439914
36,0.04496130245821876
37,0.037836030817400675
38,0.017729010493720786
39,0.026978401639943545
40,0.0002770008730519172
41,0.005314284478973295
42,0.0
43,1.0920931061879721e-05
44,2.484739438331095e-05
45,0.0003694799338708405
46,0.0010085804493406424
47,4.913689696711488e-05
48,7.162241368390623e-06
49,0.0632957536268806
50,0.017144082643178495
51,0.0022169268563250726
52,0.039618143503557045
53,0.002163842541663884
54,0.000561595382897506
55,8.939442432908385e-05
56,3.892438882002571e-08
57,0.0022701248058968047
58,0.00148693780878651
59,0.0020197608133027518
60,0.009491493568395189
,GradientBoostingClassifier
0,0.026611798900327725
1,0.01518200143061524
2,0.014317097907220386
3,0.02330184797636171
4,0.022772962406008044
5,0.021405190859340544
6,0.0010412725518454088
7,0.016631101920273245
8,0.00996003677240338
9,0.010165908899816861
10,0.019875237385575135
11,0.020141538315792556
12,0.02096605785897714
13,0.02528711465212061
14,0.0022271284191146446
15,0.02009975824083037
16,0.020109820154659896
17,0.03159109935352685
18,0.030386932381138054
19,0.027794595028515532
20,0.01996353729366535
21,0.018816128143683424
22,0.022533881669075786
23,0.01524381136479621
24,0.02391148668387685
25,0.02199785932337326
26,0.028065838893647894
27,0.002952092447252351
28,0.01600223520895324
29,0.005875189812915292
30,0.008899213302614516
31,0.008943440603338078
32,0.008135874320145524
33,0.0012825258839198705
34,0.07809085479948503
35,0.0457890237417783
36,0.05212267017679525
37,0.03530333121115224
38,0.02163363778120295
39,0.03198240327808033
40,0.00011248394626723346
41,0.006420412907027383
42,1.5324021312717484e-07
43,0.0007151491449937055
44,0.0008107428026998973
45,8.098950892012167e-05
46,0.00105482644819368
47,2.0681891635852168e-05
48,1.4136422961613889e-08
49,0.055365191496648085
50,0.009514798598325238
51,0.003056033273120151
52,0.05265799936379696
53,0.002759538987853261
54,0.0035197966253427025
55,1.6683353367751604e-05
56,0.00010003287928234142
57,0.0008190105161878162
58,0.001277418233353351
59,0.002190617341676988
60,0.012093887950456452
,GradientBoostingClassifier
0,0.02143812878073886
1,0.022956346687417115
2,0.02473215039304051
3,0.017702557946714038
4,0.02607345422283617
5,0.024069250954992995
6,0.0038524892186229975
7,0.012069061938032782
8,0.01797341775124507
9,0.008756680434232233
10,0.018045886606109698
11,0.027595333984174394
12,0.02094830040513402
13,0.022648251026910596
14,0.0031851280719941604
15,0.02072016119668744
16,0.021939214904620617
17,0.0214812314107643
18,0.03077447501555303
19,0.026281245168564112
20,0.018354875890129758
21,0.023811066517133744
22,0.019864865727530004
23,0.014338845476656502
24,0.02466955850881639
25,0.02065864641656161
26,0.02604842383706727
27,0.0016165138188014708
28,0.01237572689850058
29,0.007441426914343124
30,0.006429578333856917
31,0.006822508627110682
32,0.008850210562816613
33,0.0030550118060501375
34,0.07912283694410593
35,0.04531457134478332
36,0.06937123298153666
37,0.04127890350677853
38,0.017210060003192675
39,0.025745131575877683
40,0.0006051789204236684
41,0.005381277026372508
42,1.2487038688446805e-09
43,0.00020206560670838698
44,1.4776520796257697e-05
45,0.0010333136399854437
46,0.0007763326047003954
47,1.2281568158716209e-05
48,0.000917908298564128
49,0.03931438862098096
50,0.011672658587866461
51,0.003700810853306774
52,0.04949125673155805
53,0.000680314505863523
54,0.002308868759982651
55,0.0003153746212280877
56,2.7117540635427304e-05
57,0.0008745721984616513
58,0.0009617770350321137
59,0.002572071080164643
60,0.0135148922204717
,GradientBoostingClassifier
0,0.02413325995525531
1,0.018430076953337707
2,0.019426448946445272
3,0.018520943708865405
4,0.020576211369915408
5,0.0261224196655511
6,0.0026594019433310015
7,0.009449970384535945
8,0.01530580584438973
9,0.007523238495477824
10,0.014430895898318353
11,0.019887853550093485
12,0.02497988554814537
13,0.026352160930563046
14,0.00245566495894873
15,0.024124465264662477
16,0.026293125241287036
17,0.021491542089312435
18,0.024826997511426335
19,0.024799328242666095
20,0.019366927663349985
21,0.022465637584540656
22,0.019842056723726683
23,0.0209461944679733
24,0.023799490475269466
25,0.019699791825347344
26,0.029260277689938396
27,0.0023862502707966585
28,0.015397184645484738
29,0.006194377789798375
30,0.008219795707210533
31,0.011385637106398077
32,0.010263462776153623
33,0.002789269534227982
34,0.0834335563715028
35,0.04350338731705034
36,0.04555736762430556
37,0.03259643003382519
38,0.016644320806476123
39,0.0344487106581825
40,0.00048086286020737753
41,0.012701902819964781
42,6.113963505058647e-05
43,1.0935204788863586e-05
44,0.00015110386589606734
45,2.291282198417061e-05
46,0.0011462681612779589
47,0.00036616624701032806
48,0.0016678488493464061
49,0.07004505617376657
50,0.013457871746747844
51,0.002141647983457271
52,0.043938989821345434
53,0.0004010126850630297
54,0.001017074460641323
55,2.7073592344179214e-07
56,8.94706343397742e-05
57,0.0018676335943624933
58,0.0009385546349937252
59,0.0021641052872983985
60,0.007339348202447699
,GradientBoostingClassifier
0,0.021094508283980257
1,0.021241517468998848
2,0.019789800220572536
3,0.02616861471901805
4,0.02259891714294253
5,0.023341689857819866
6,0.003381373695122687
7,0.017867875516035532
8,0.011888906956863664
9,0.0066274054503231575
10,0.020242161040239053
11,0.025615478040744512
12,0.016109504009508734
13,0.027295755268791952
14,0.0034084817761621247
15,0.02255105849073873
16,0.024340240154396866
17,0.031717049098182244
18,0.0277086924332875
19,0.021316844543351154
20,0.021038114518141107
21,0.019971207134192755
22,0.01694399199504661
23,0.012433470986279952
24,0.02483284933645348
25,0.02326415566474478
26,0.027251555608981615
27,0.0026896936212693033
28,0.010768406135778211
29,0.008471161786247893
30,0.010910707864619866
31,0.00991285968597824
32,0.010602987810301279
33,0.0031103727025367078
34,0.08630793617136473
35,0.04872846688469372
36,0.04320482742129554
37,0.03247824902141613
38,0.013761262908418977
39,0.025175772193663022
40,0.0016470464677423849
41,0.004636687616846969
42,9.369156803128734e-06
43,0.00017774414662287822
44,0.0007823586392059582
45,0.00011155863271520222
46,0.000502459899507178
47,0.000349557396503796
48,5.656258493695665e-05
49,0.05904717155276542
50,0.014615107916321689
51,0.004790759950743229
52,0.047109176692743684
53,0.0006217699702221553
54,0.00196310478933268
55,4.6279274803544295e-05
56,0.0006370459033573855
57,0.001531170087187961
58,0.0008447168369242422
59,0.003958418950099421
60,0.01039800991611037
,GradientBoostingClassifier
0,0.025789306423917264
1,0.016421081073083113
2,0.021092441583180306
3,0.019803308377436005
4,0.026310952557693647
5,0.022750375886418876
6,0.0007630873804742273
7,0.011417048247194597
8,0.014154740100097889
9,0.0065151900767154505
10,0.018782147511340677
11,0.023571742503646857
12,0.01753017233069969
13,0.02517604708749292
14,0.004136410297319643
15,0.024215768526103302
16,0.020264341560217135
17,0.020607741979370257
18,0.028222012275658567
19,0.02934715727701864
20,0.024538981703273746
21,0.02209897715251212
22,0.01685429719097172
23,0.014133345884685912
24,0.019596812602444773
25,0.03115350050018146
26,0.022502872082921146
27,0.0017046230052337732
28,0.007885862677542585
29,0.004877177155019081
30,0.006315452119945513
31,0.013931071135961945
32,0.009243906202250046
33,0.0023508780746502454
34,0.08204889783116108
35,0.04996851525356006
36,0.049513632183865994
37,0.02984392267753643
38,0.012941228517279508
39,0.0334921030690534
40,0.00036113355624142144
41,0.01286223041159375
42,0.0
43,3.109341708681387e-06
44,4.607247288408028e-05
45,8.977188704057614e-05
46,0.0007118470399416299
47,0.00026076085458255236
48,1.0352644583521992e-05
49,0.05758912591390817
50,0.01463293651536517
51,0.0028977870934410745
52,0.05812143194585419
53,0.0012739088119723505
54,0.0008208083741337561
55,0.0002330959795788975
56,0.00021467953548584968
57,0.0007112466437992107
58,0.0019205604285270723
59,0.0027330729880071557
60,0.01263893748622134
,GradientBoostingClassifier
0,0.027660143310388925
1,0.02214267879091896
2,0.01943739001258905
3,0.018791466893610775
4,0.03645304147616269
5,0.015626870195392713
6,0.0014231796017285085
7,0.005396819985199805
8,0.013231793083818034
9,0.005559459508461844
10,0.019623796883573515
11,0.013810324487349515
12,0.019041270914779734
13,0.02517792558376112
14,0.0010813043531804113
15,0.0330092546295902
16,0.019333969176668023
17,0.03047033747658993
18,0.02298136141298618
19,0.025269422245331602
20,0.015431632100989086
21,0.024674831193815725
22,0.017539099475472143
23,0.017877225275615072
24,0.023119446153484755
25,0.017284396031995324
26,0.03380145878674723
27,0.0034384191911344046
28,0.010598225947083888
29,0.00739914032151088
30,0.00815610824526334
31,0.009924966390116606
32,0.005518973880920366
33,0.0023736645638253564
34,0.09603217453216872
35,0.05531096304577481
36,0.05343051087020225
37,0.04749591902536459
38,0.01935570817962145
39,0.025317452040044465
40,0.0008048448975064975
41,0.0005203110120051426
42,0.0
43,9.73718563317658e-06
44,0.0014488670933148714
45,0.00044407713914607186
46,0.0015077217860048567
47,0.00552749876959794
48,9.328037891085255e-05
49,0.03600678034006844
50,0.009256867869823231
51,0.00258429670118773
52,0.047578788273789904
53,0.0015911604036012003
54,0.0002169847951478942
55,2.055214788146087e-05
56,0.0
57,0.0006723904700109874
58,0.0010252652991786636
59,0.006469527658975366
60,0.014618922504983676
,GradientBoostingClassifier
0,0.03706173287037755
1,0.023109874542202428
