,ExtraTreesClassifier
20,0.016472999662611117
21,0.014507661902029768
22,0.014851002786050066
23,0.016718674374580928
24,0.013065697274539694
25,0.016125249557376712
26,0.03835722241770703
27,0.013608834283382198
28,0.009289174920129909
29,0.009659426461613047
30,0.003969679654057325
31,0.006355601280423058
32,0.005617260621031383
33,0.011261143674996008
34,0.12724131746677173
35,0.03083174782119823
36,0.024572337981349737
37,0.012270813881062192
38,0.018841057152281265
39,0.010936228521937576
40,0.009164205998054288
41,0.008706218865523623
42,0.0035306728752234513
43,0.0011285683058699565
44,0.007230770995855159
45,0.004009453661814142
46,0.005931233847877011
47,0.004724510778911867
48,0.0016676697763742768
49,0.10894440795522964
50,0.011403632678403082
51,0.017775795577554675
52,0.0703943556280179
53,0.00512591073781258
54,0.0015919630292287386
55,0.0009515872442964577
56,0.00033762798629848544
57,0.014389400160172608
58,0.006434429949416331
59,0.014710885900025908
60,0.04207982474699508
,ExtraTreesClassifier
0,0.014330884551440886
1,0.017558999907153774
2,0.014349332969160331
3,0.010692081250171615
4,0.013756680206931375
5,0.01129450882106694
6,0.008382852568228967
7,0.009807397721186543
8,0.007854865688603713
9,0.007994431746087003
10,0.01326616054066209
11,0.011352083695006156
12,0.01573171329028126
13,0.010181819729634143
14,0.007837334512216642
15,0.015434762674340425
16,0.015173416871969502
17,0.015426196449595834
18,0.014851183535042872
19,0.015663810022763396
20,0.016150391659390178
21,0.014850030714357438
22,0.015124526838097008
23,0.016541992769597474
24,0.01385508033820271
25,0.015104589155463836
26,0.04070495779038954
27,0.0152946030783614
28,0.010384637651448658
29,0.008673382193354761
30,0.0034947635210933552
31,0.006538054940322275
32,0.0050756930429738676
33,0.01305990110882377
34,0.14123282388334782
35,0.026129836375390455
36,0.02488898222587288
37,0.012735123336848904
38,0.01888031560220233
39,0.009162433643584943
40,0.009799428466620354
41,0.008116972617544727
42,0.0014441039453637465
43,0.0010712567492826095
44,0.0077337968947090874
45,0.004109567987846483
46,0.004328053015681038
47,0.00598792962902767
48,0.0022321628059390358
49,0.09631308071139504
50,0.014247365084141777
51,0.017172299836487815
52,0.06312057774879008
53,0.0028096041089863888
54,0.0023953280959107094
55,0.0011322952227949155
56,0.00034727375652046936
57,0.018147479424933638
58,0.006657979516269081
59,0.011703267021514656
60,0.042307540739573615
,ExtraTreesClassifier
