,RandomForestClassifier
13,0.02109242273321393
14,0.001964716688669745
15,0.0328350436003396
16,0.02176218194899671
17,0.02424552168678816
18,0.019531544094969478
19,0.021811326837898597
20,0.018739436428364502
21,0.024519907720445287
22,0.017442365529377876
23,0.013928542008833334
24,0.01857204848881588
25,0.01984291676509877
26,0.019359404419446134
27,0.0035032864161361776
28,0.01085104595015881
29,0.010005255229773635
30,0.0068394998524760175
31,0.009266434207585625
32,0.009023259808199626
33,0.00239563799305901
34,0.07708001374238121
35,0.06029234819232604
36,0.05986985174544629
37,0.03949906357152837
38,0.019645379557131026
39,0.036490971929562646
40,0.0023578056331856707
41,0.0006738191781425668
42,0.00027605081698365023
43,0.00040203516324705175
44,0.003268463758451252
45,0.0015441475173486648
46,0.002220738490501244
47,0.0021362454915513536
48,0.00046581994634909156
49,0.0680328710240006
50,0.014141618221653739
51,0.0022050955880933447
52,0.026014506955910073
53,0.0019945982517491877
54,0.002257918830565558
55,0.00046146753362943363
56,0.0007959662482641856
57,0.004133990012013405
58,0.0017414575228864723
59,0.0050792562257243965
60,0.019772753148805725
,RandomForestClassifier
0,0.03252631452537501
1,0.014959490557224266
2,0.019043898388951888
3,0.016585890599458575
4,0.026453728879346113
5,0.022682187895921514
6,0.0030934952759548674
7,0.01129987572271632
8,0.012044500082614673
9,0.007033827992115672
10,0.024426688216856906
11,0.01531292974673925
12,0.0187608876925415
13,0.01876370664667295
14,0.001224414154503413
15,0.030439210707392066
16,0.02088561768911864
17,0.026341219778932196
18,0.021129689999738327
19,0.022711130419435368
20,0.021675436353466512
21,0.01964589453015846
22,0.01688773715489283
23,0.014902184714731372
24,0.020122044547990298
25,0.019915454505897726
26,0.02381687682532533
27,0.002989095177248102
28,0.011545901243643786
29,0.008713137231160782
30,0.005682673890920353
31,0.00893348014148732
32,0.008009162580866964
33,0.0028652764970263484
34,0.08573360738259779
35,0.051038024048732575
36,0.06030876557542346
37,0.03958869747294078
38,0.020420715679970173
39,0.04040787343587609
40,0.0017626237816256143
41,0.0007822340088602068
42,0.0008161124701497601
43,0.0007729372766883664
44,0.003020838211471963
45,0.0015942747694365023
46,0.0016881386149519004
47,0.0022395634225640033
48,0.00023257004087491332
49,0.05804060819060457
50,0.014684476937949298
51,0.002414648053326694
52,0.029416399598689958
53,0.001982275247020333
54,0.0024567960321783865
55,0.0003584909227305948
56,0.001004734690042728
57,0.004021648518647634
58,0.001969248078353332
59,0.0047410652431841525
60,0.017079571928682563
,RandomForestClassifier
0,0.03129436997966033
1,0.01733451274724571
2,0.01818802915192083
3,0.018439415298543795
4,0.025587547518310542
5,0.02143079891151494
6,0.0024531656606066785
7,0.009311428329001425
8,0.013485567455248697
9,0.007439761836075736
10,0.019767601408798033
11,0.019390267425520448
12,0.018185492597938745
13,0.0197634783089455
14,0.0008280680685164066
15,0.025185610069133196
16,0.02249846994872441
17,0.022393239302640304
18,0.021396870727308767
19,0.021002254558813153
20,0.018484622891422192
21,0.02073467419651362
22,0.02167902294569761
23,0.015054133306041346
24,0.01989670965566737
25,0.019146264984112805
26,0.023715148644295417
27,0.0034522854603366306
28,0.011720865585909658
29,0.008610513754019713
30,0.005994308570523707
31,0.011571052427144306
32,0.010075078822131099
33,0.0027437312733695927
34,0.0810408599593184
35,0.054130546224302654
36,0.06249031363831309
37,0.03393554241404428
38,0.02203059165680641
39,0.04216782272912019
40,0.0018616850778781688
41,0.001493315380253991
42,4.948023320918933e-05
43,0.00039105429696437345
44,0.003973860541957785
45,0.0012746700757550618
46,0.0019440816281619388
47,0.0018963209597931579
48,0.0006874557858240517
49,0.060708180442515275
50,0.014226533673312731
51,0.002836586513197151
52,0.02532949816826451
53,0.0014506165132140317
54,0.0030740656877478074
55,0.000757105728054838
56,0.0006986734640066833
57,0.0060823516400702275
58,0.0015089267816451658
59,0.0032595733426705542
60,0.02244592562194565
,RandomForestClassifier
0,0.02912394711319493
1,0.020576615756275146
2,0.020146856083519956
3,0.019050766372179773
4,0.024681415860536977
5,0.0224774274304791
6,0.004156545023702421
7,0.010708740169658275
8,0.012447713156171885
9,0.006935399001140779
10,0.024078513760572563
11,0.016481554606767354
12,0.020371552732415577
13,0.023243026208415788
14,0.001748708458370038
15,0.03106742180273547
16,0.021491145088785045
17,0.023386163369636503
18,0.019304407887786767
19,0.021011857313636008
20,0.019763185069737357
21,0.02134273045329763
22,0.02151805107516973
23,0.015515786947145655
24,0.019218322152062307
25,0.020916621644266557
26,0.018277295011214736
27,0.0034873085420894724
28,0.011555525096912465
29,0.008306792174281463
30,0.006924829714657672
31,0.009856365452726277
32,0.008977041368945313
33,0.003632019592267354
34,0.07497150917619101
35,0.04995236970794807
36,0.06370063899773429
37,0.03801636513130513
38,0.021106278332086403
39,0.03797718568797729
40,0.00172169661953426
41,0.0008496812810506905
42,0.0001450048642029119
43,0.0006056588336889836
44,0.003407589610556661
45,0.00198812341994273
46,0.0019207984262322216
47,0.0025029713066205966
48,0.00048156510828879117
49,0.06281871041458546
50,0.014502776973322444
51,0.00263835495794284
52,0.027338267661566412
53,0.002616289548286355
54,0.003477186836660553
55,0.00015231739872027128
56,0.0005712848062846775
57,0.0034753689356160243
58,0.0013230610126743747
59,0.005685669260812165
60,0.014271624199414062
,RandomForestClassifier
0,0.03559685541217998
1,0.02061634829980996
2,0.017609250254227767
3,0.018267643139109738
4,0.025983376410023903
5,0.02024418124238442
6,0.003914223205055367
7,0.011229693329557701
8,0.00951590346533907
9,0.0062290161591103
10,0.02208760399877606
11,0.021564650199520027
12,0.018914614191943263
13,0.018114035347008905
14,0.00115989803003397
15,0.030855589005955694
16,0.023737455827394786
17,0.024508534595244977
18,0.021528399045131118
19,0.023177898839845636
20,0.022872094679156157
21,0.02021196255286324
22,0.01977448375451959
23,0.012956493346216784
24,0.019314192590100487
25,0.02078242845390523
26,0.015983455483935843
27,0.0034146851780001712
28,0.010830950374363144
29,0.009086385448744065
30,0.004605863746914978
31,0.010100832233498754
32,0.011136675508129206
33,0.002199930041108021
34,0.08672804116923398
35,0.04828540342854076
36,0.060539795861768574
37,0.03740382051359787
38,0.020294751913771125
39,0.04004682033894726
40,0.0034026394014963633
41,0.0019647397657238286
42,0.0001452752900138948
43,0.0008616135520607237
44,0.0031437673139861665
45,0.0015376027644780877
46,0.0010540279287438005
47,0.002483750224614712
48,0.0009130708411547361
49,0.056271639711790084
50,0.015041806333377074
51,0.001892228480366459
52,0.021799492396842736
53,0.002503920000452757
54,0.0045725388322987335
55,0.0004848778399967887
56,0.0003090089426960318
57,0.004396432407441751
58,0.0024713441964894335
59,0.004170236406709451
60,0.019155750754298435
,RandomForestClassifier
0,0.03565854907060288
1,0.01808428920426932
2,0.018363179072023946
3,0.018574386799464954
4,0.024560629122631697
5,0.02043811113121658
6,0.0023657393106305607
7,0.009051125336401839
8,0.01201594977032699
9,0.0077704411762541115
10,0.019867225289429052
11,0.018226385609267415
12,0.019774083448725686
13,0.02446747804806862
14,0.0007757644189370882
15,0.03151040841818399
16,0.02274840834487175
17,0.025322553351534025
18,0.02041458290844915
19,0.02305297208593927
20,0.018701154069470618
21,0.02316996769782682
22,0.019869656385926027
23,0.014381377118555186
24,0.020566045930851366
25,0.017199802717399727
26,0.018170333202166235
27,0.0030380442119638546
28,0.011849732915384117
29,0.007730286224362191
30,0.005271888845614643
31,0.009780914971034423
32,0.009764335489850496
33,0.0024963360676033197
34,0.09141915718058927
35,0.048130275258220126
