	Train_Accuracy	Test_Accuracy	AUC
181	-1	-1	0.8702718676122931
182	-1	-1	0.7928486997635934
183	-1	-1	0.8705673758865249
184	-1	-1	0.8315602836879432
185	-1	-1	0.855144272806762
186	-1	-1	0.7597517730496455
187	-1	-1	0.857565011820331
188	-1	-1	0.8729314420803782
189	-1	-1	0.8577674147478869
190	-1	-1	0.7893026004728132
191	-1	-1	0.7816193853427896
192	-1	-1	0.8289128533955116
193	-1	-1	0.8469267139479906
194	-1	-1	0.8236665695132614
195	-1	-1	0.8498817966903074
196	-1	-1	0.8676770620810259
197	-1	-1	0.7692080378250591
198	-1	-1	0.8392434988179669
199	-1	-1	0.8590425531914894
200	-1	-1	0.8489952718676123
201	-1	-1	0.8145485911443358
202	-1	-1	0.8558865248226951
203	-1	-1	0.8578605200945626
204	-1	-1	0.8717494089834514
205	-1	-1	0.8810842320023317
206	-1	-1	0.8621393179830953
207	-1	-1	0.7969858156028369
208	-1	-1	0.858539390454284
209	-1	-1	0.7751182033096926
210	-1	-1	0.8915484633569739
211	-1	-1	0.8300827423167849
212	-1	-1	0.8622771707878092
213	-1	-1	0.8341000575043129
214	-1	-1	0.881828637147786
215	-1	-1	0.7361111111111112
216	-1	-1	0.8041978148361127
217	-1	-1	0.8688901667625072
218	-1	-1	0.7500749175906503
219	-1	-1	0.8696433922685046
220	-1	-1	0.8273898711417441
221	-1	-1	0.8288882229547497
222	-1	-1	0.7965238237938268
223	-1	-1	0.8838905775075989
224	-1	-1	0.8924669350201265
225	-1	-1	0.8723404255319149
226	-1	-1	0.8345819598441714
227	-1	-1	0.7899696048632219
228	-1	-1	0.844984802431611
229	-1	-1	0.8693437219059035
230	-1	-1	0.8188449848024315
231	-1	-1	0.7978723404255319
232	-1	-1	0.8139047048246929
233	-1	-1	0.8103086604734792
234	-1	-1	0.7833383278393767
235	-1	-1	0.8276895415043451
236	-1	-1	0.9121580547112462
237	-1	-1	0.8312855858555589
238	-1	-1	0.8544072948328267
239	-1	-1	0.8854103343465045
240	-1	-1	0.831306990881459
241	-1	-1	0.8954407294832827
242	-1	-1	0.8516717325227964
243	-1	-1	0.8429727299970032
244	-1	-1	0.8015197568389056
245	-1	-1	0.8639496553790831
246	-1	-1	0.8197568389057751
247	-1	-1	0.8369793227449805
248	-1	-1	0.7796352583586625
249	-1	-1	0.8537993920972644
